longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117,32.87,18,11544,1979,6296,1923,4.4904,150400
-117,32.85,24,1888,319,950,319,5.282,140800
-117,32.8,33,1816,325,768,316,4.5662,150300
-117,32.77,35,2114,317,881,320,5.5,241400
-117,32.77,30,1802,401,776,386,2.8125,173500
-117,32.76,31,2545,373,956,342,4.3977,226800
-117,32.76,31,1989,280,805,301,6.5645,189100
-117,32.74,17,2357,599,1423,510,1.8856,118800
-117,32.72,10,3817,943,2352,875,2.1362,143200
-117,32.71,22,2263,441,1395,416,3.725,123500
-117,32.7,23,2785,468,1456,449,4.3714,131000
-117,32.67,16,2238,307,1002,303,6.6143,264100
-117,32.64,11,3098,490,1391,484,4.9792,170400
-117,34.9,36,2181,555,1404,492,2.3077,55500
-117,34.9,34,2194,519,1326,515,2.1056,72000
-117,34.89,26,2599,498,1332,443,2.7198,70400
-117,34.01,15,5592,891,2419,840,4.7193,135200
-117,33.97,18,4775,886,1868,836,2.3355,118800
-117,33.04,13,4595,567,1643,544,7.7684,362300
-117,32.99,8,3372,430,1536,448,8.4284,378300
-117,32.85,23,2592,414,1401,431,5.4903,151400
-117,32.84,23,1951,395,901,378,3.1023,143300
-117,32.83,17,15401,3280,7302,3176,3.3067,121900
-117,32.81,26,4499,645,1866,626,5.516,185100
-117,32.81,21,4203,618,1620,600,5.3441,193500
-117,32.8,20,2705,545,1198,497,3.7159,168900
-117,32.8,17,1558,479,803,431,2.6934,160200
-117,32.8,17,1042,210,650,215,3.1,84200
-117,32.79,33,4015,663,1864,664,4.3152,159300
-117,32.79,31,3776,815,1886,799,3.4421,155300
-117,32.78,20,2616,597,1532,579,2.9896,235600
-117,32.77,43,841,192,496,207,3.0179,149300
-117,32.77,34,3330,723,1592,656,2.6678,164200
-117,32.76,34,3415,608,1464,593,4.0549,223700
-117,32.76,22,3626,824,1800,769,2.8594,189600
-117,32.75,34,2105,340,973,357,4.3088,152500
-117,32.75,26,4038,706,2065,687,3.9545,178100
-117,32.74,31,3473,722,2098,677,2.6973,135200
-117,32.73,22,2526,530,1556,529,2.8646,120800
-117,32.72,12,2914,734,2104,703,2.3068,132300
-117,32.71,20,3506,692,1977,668,2.981,129100
-117,32.7,7,2327,490,1304,445,3.3553,132200
-117,32.7,25,2321,398,1434,386,3.5341,120800
-117,32.67,17,2319,348,1125,337,5.551,266900
-117,32.66,11,9992,1368,4495,1316,6.9664,293900
-117,32.63,7,6483,976,3269,1005,5.7358,221600
-117,36.4,19,619,239,490,164,2.1,14999
-117,34.9,37,1199,351,782,296,1.6515,61600
-117,34.89,29,3111,661,1530,608,2.8281,69300
-117,34.03,19,4415,648,1627,619,4.2361,191600
-117,33.95,5,1822,367,798,313,2.8783,105200
-117,33.81,10,6317,1335,2625,1094,2.3,108900
-117,33.76,20,1317,203,453,158,2.8393,120700
-117,33.73,14,3700,750,1171,695,1.9476,112500
-117,33.71,6,8278,1579,3062,1446,3.0043,134700
-117,33.6,7,1972,352,964,317,3.244,337200
-117,32.95,25,1909,334,1043,322,3.7784,160100
-117,32.84,17,4013,673,2263,661,5.131,148300
-117,32.81,27,1950,317,950,320,4.0656,164000
-117,32.81,26,1998,301,874,305,5.4544,180900
-117,32.81,14,3173,599,1451,585,3.7292,182200
-117,32.8,29,1232,243,665,247,3.65,168900
-117,32.8,27,2369,370,927,374,4.1162,177200
-117,32.79,36,2211,384,868,329,4.0491,147900
-117,32.78,33,3481,708,1726,719,3.3675,158200
-117,32.78,31,2567,507,1198,499,3.4659,163000
-117,32.76,40,2523,488,976,470,3.11,185700
-117,32.76,15,1204,326,543,326,1.0278,154200
-117,32.75,33,3296,537,1345,556,5.2835,217100
-117,32.74,30,4205,772,2012,734,3.5,144700
-117,32.74,12,3301,963,2000,879,1.8594,119200
-117,32.73,22,5201,865,3280,817,4.7952,141400
-117,32.72,36,2030,369,1142,357,3.7763,126900
-117,32.71,30,3187,592,2082,631,3.5388,118500
-117,32.7,22,2756,516,1849,486,4.1837,125400
-117,32.68,14,3986,675,2065,702,5.7192,267400
-117,32.67,20,1505,184,635,182,6.5772,245200
-117,32.66,19,771,103,376,108,6.6272,273600
-117,32.64,5,260,41,157,42,6.5151,281700
-117,32.59,19,1902,335,1102,313,3.0365,98100
-117,34.91,27,2718,583,1472,509,2.825,76600
-117,34.87,7,2245,407,1016,364,3.9464,101500
-117,34.07,16,3784,577,1615,525,4.2333,220300
-117,34.03,26,3501,664,1860,681,3.0403,113500
-117,33.89,6,78,11,27,10,3.125,187500
-117,33.32,14,1088,209,601,193,3.8438,243800
-117,33.18,17,5391,886,2732,830,5.1771,212800
-117,33.12,25,3142,446,1286,419,5.4663,248300
-117,32.96,16,3424,698,1940,645,4.121,182100
-117,32.82,16,1765,289,743,280,4.9744,209700
-117,32.8,19,3866,775,1554,703,4.3281,220000
-117,32.79,31,2366,383,1077,387,4.2992,174400
-117,32.79,26,3859,513,1469,538,5.8683,220500
-117,32.78,17,5481,1618,2957,1537,2.5707,171300
-117,32.77,34,1796,428,918,424,2.875,161200
-117,32.77,19,4819,1492,2572,1336,2.3393,118200
-117,32.75,24,7879,1655,3898,1534,3.0897,187300
-117,32.74,37,821,150,404,135,3.0125,130400
-117,32.74,35,1878,454,991,409,2.4345,129700
-117,32.73,38,3174,606,1557,619,3.5861,123600
-117,32.73,34,2061,391,1169,400,3.5096,142000
-117,32.73,32,1750,333,997,335,3.4784,154400
-117,32.72,38,886,176,505,188,3.5938,125400
-117,32.72,37,2192,455,1515,446,3.0588,120600
-117,32.71,34,2328,444,1684,429,3.25,99600
-117,32.71,33,3126,627,2300,623,3.2596,103000
-117,32.7,19,2304,572,2010,556,2.2866,109900
-117,32.69,8,2460,397,1784,390,4.5662,175500
-117,32.69,5,3201,532,2061,536,5.0829,179400
-117,32.69,10,901,163,698,167,4.6648,156100
-117,32.67,15,5094,818,2118,758,5.3505,266600
-117,32.65,14,1111,142,472,145,7.6344,290500
-117,32.63,14,2796,476,1466,464,5.2489,213700
-117,32.63,13,2087,313,1165,330,5.7789,227700
-117,32.61,22,1028,148,523,152,6.0086,166900
-117,34.89,37,1884,366,1052,353,3.175,66800
-117,34.04,30,3474,735,1674,691,2.5863,98300
-117,34.03,29,3375,795,1760,699,2.7028,92000
-117,34.02,24,4663,1213,1851,1116,1.4418,103500
-117,34,25,3750,781,1594,785,2.4167,104900
-117,34,21,4624,852,2174,812,3.5255,132100
-117,33.15,15,13814,2888,6583,2789,2.8247,150000
-117,33.09,16,4677,581,1902,566,6.1834,335600
-117,33.03,16,2852,435,1083,448,6.3761,296200
-117,33.01,28,922,107,314,97,8.4721,342300
-117,32.99,6,9518,1418,4413,1275,6.6012,314900
-117,32.98,16,1332,196,640,193,6.0226,192900
-117,32.97,13,6711,1256,3683,1220,4.5746,175700
-117,32.9,6,6525,826,3146,806,9.2858,436100
-117,32.83,8,2205,348,777,341,6.0266,177400
-117,32.81,12,2880,406,1381,418,6.5412,254200
-117,32.8,25,2504,345,1067,350,5.7416,243400
-117,32.8,11,1802,440,630,428,2.0337,146700
-117,32.79,23,2491,350,863,348,6.7196,306800
-117,32.77,21,1824,447,962,431,2.7826,143800
-117,32.77,16,7963,1881,3769,1804,2.9624,144700
-117,32.76,43,3171,665,1534,625,3.141,141400
-117,32.76,37,2979,557,1285,564,3.7368,152200
-117,32.75,36,2297,418,1070,392,3.5192,144000
-117,32.74,5,2878,785,1727,758,1.7179,132000
-117,32.74,33,3880,770,2288,805,3.6848,140700
-117,32.72,24,5474,955,3020,904,4.0813,137000
-117,32.71,28,5274,991,3727,961,3.57,109800
-117,32.69,9,3417,860,2521,828,3.02,158900
-117,32.68,13,2132,425,1345,432,4,89300
-117,32.68,11,1875,357,1014,386,4.375,115000
-117,32.67,14,3464,683,2139,734,4.0668,137500
-117,32.66,22,3362,630,1471,612,4.1442,303900
-117,32.65,8,8806,1401,3159,1059,4.2155,247800
-117,32.64,5,2329,542,1213,514,4.0298,225600
-117,32.63,26,2756,422,1166,398,5.1354,181600
-117,32.63,26,2074,356,1228,335,4.1154,160200
-117,32.62,27,1710,282,1089,297,4.6793,151900
-117,32.6,20,8052,1461,5094,1430,4.2241,139800
-117,32.6,18,4747,846,3002,872,3.9076,152900
-117,32.58,20,2029,357,1497,353,4.0089,132100
-117,32.58,14,2355,406,1883,401,5.0311,152100
-117,32.55,15,2206,648,2511,648,1.6348,93200
-117,32.54,7,938,297,1187,282,1.2667,67500
-117,34.89,36,1199,260,665,229,3.7065,62000
-117,34.04,23,3967,766,1518,698,2.29,111800
-117,34.03,28,3009,698,1200,626,1.3993,104600
-117,34.02,21,3098,646,1351,614,2.598,106700
-117,34.01,27,5484,1205,2645,1131,2.1927,116700
-117,33.52,5,3471,530,1541,502,4.8083,347700
-117,33.29,17,1800,312,891,281,7.0177,267600
-117,33.26,14,3103,569,1704,539,3.7644,264700
-117,33.14,16,4552,1166,2737,1051,2.25,136300
-117,33.13,22,2427,390,1099,362,5.2323,167500
-117,33.13,20,7746,2035,5370,1838,2.3762,98500
-117,33.13,17,2385,372,1118,369,4.2813,169900
-117,33.11,18,4393,642,2095,677,5.4786,223500
-117,33.05,6,7916,1293,2741,1204,5.6436,278600
-117,33.04,12,1840,254,580,234,6.7769,400000
-117,33.02,18,917,121,388,131,6.3517,260100
-117,33.01,19,3558,588,1439,578,4.625,211100
-117,33.01,17,3430,425,1468,433,10.6186,429300
-117,32.97,17,9911,1436,4763,1414,5.5882,194300
-117,32.96,18,3593,661,1992,626,4.8295,165800
-117,32.95,17,4814,1091,3013,1078,3.2369,167800
-117,32.95,17,3039,555,1297,552,3.9531,178600
-117,32.82,16,4046,731,1684,701,4.2312,197000
-117,32.81,17,1885,292,771,301,5.6402,228600
-117,32.8,25,1905,250,865,253,6.4797,249000
-117,32.8,23,3309,401,1116,386,7.916,330600
-117,32.8,17,1475,308,549,293,3.7167,180400
-117,32.8,16,1561,378,574,350,3.0035,94600
-117,32.78,37,1184,178,529,192,4.7941,161700
-117,32.77,33,3535,683,1568,672,2.8097,158300
-117,32.77,23,2556,662,1200,548,1.8899,147700
-117,32.76,46,1887,359,795,358,3.25,159600
-117,32.75,43,1718,344,826,336,2.7014,133700
-117,32.75,36,2024,408,1030,390,3.8233,139800
-117,32.75,35,2144,388,1003,383,3.0938,137300
-117,32.75,29,2767,612,1437,587,2.8306,142900
-117,32.74,34,2178,455,1193,446,3.1719,115300
-117,32.73,27,3184,588,1763,571,3.5529,133900
-117,32.72,35,3669,617,1694,585,3.9485,133900
-117,32.72,35,1777,369,1158,353,3.4107,117000
-117,32.69,8,831,158,740,154,5.3908,165500
-117,32.69,21,991,210,695,203,3.625,144300
-117,32.69,14,1689,555,1319,527,3.16,143800
-117,32.68,35,3414,580,1761,522,3.9922,129800
-117,32.68,19,1469,275,1010,292,3.5664,150400
-117,32.68,15,1828,359,955,248,3.2174,165100
-117,32.67,32,4227,785,2842,795,3.9646,137800
-117,32.67,16,2168,343,1589,338,5.4863,153800
-117,32.63,31,4911,861,2334,843,4.1958,160100
-117,32.62,34,3928,686,2315,681,4.2851,144500
-117,32.61,26,1563,286,1145,313,3.8615,139300
-117,32.61,21,6034,1205,3795,1146,3.2633,129700
-117,32.59,26,1919,345,1326,341,4.2679,131900
-117,32.59,16,4683,929,3073,865,3.0495,98300
-117,32.58,25,2185,370,1558,369,5.3072,132700
-117,32.58,22,2101,399,1551,371,4.1518,136900
-117,32.56,22,2172,563,2049,524,2.0159,139300
-117,32.56,18,1215,320,1195,349,1.9875,114900
-117,32.56,17,985,233,811,223,2.875,134500
-117,34.9,36,2828,916,1762,736,1.4318,59600
-117,34.17,21,2520,582,416,151,2.712,89000
-117,34.03,27,1945,446,859,418,1.5203,126200
-117,34.02,24,3912,809,1926,762,2.6875,116300
-117,34,33,1575,326,879,282,2.5357,94400
-117,33.78,17,2813,565,1345,488,2.5847,145300
-117,33.17,4,5465,974,2844,950,4.4477,174800
-117,33.15,24,2155,379,1158,360,4.7941,147500
-117,33.13,12,8742,2114,4854,1957,2.8015,143500
-117,33.09,11,7483,1276,3516,1261,4.0484,262500
-117,33.04,17,1785,255,667,277,5.7382,278000
-117,33.03,23,2023,309,678,340,7.0913,265400
-117,33.02,24,830,190,279,196,1.9176,121100
-117,33.02,17,2635,389,994,359,5.8966,261500
-117,33.01,9,2470,417,904,427,4.4219,209200
-117,32.99,16,1306,196,713,222,6.2683,180700
-117,32.97,17,4754,877,2412,832,4.3548,192300
-117,32.81,17,3939,550,1694,553,6.7927,234700
-117,32.8,17,2247,340,973,318,5.5,222000
-117,32.79,21,3787,492,1246,457,9.6023,391300
-117,32.79,17,2524,332,771,317,8.7604,331800
-117,32.77,34,1730,373,730,350,2.0284,161800
-117,32.77,18,2269,682,1329,581,1.7951,161800
-117,32.76,38,1549,288,636,278,3.2188,150500
-117,32.76,24,1629,587,1012,488,1.7452,156800
-117,32.75,34,2516,611,1317,594,2.2308,125900
-117,32.75,34,1917,419,1181,426,3.0208,129200
-117,32.73,33,3444,619,1884,582,3.7891,126700
-117,32.72,31,2669,514,1626,499,3.1923,116900
-117,32.71,21,1864,388,1498,389,3.8194,125700
-117,32.71,11,2397,523,1566,514,3.8687,145200
-117,32.69,9,521,111,491,110,5.1305,158900
-117,32.69,9,1520,269,1250,265,4.8875,157700
-117,32.69,13,705,149,718,155,4.4375,154900
-117,32.68,41,2665,515,1664,512,2.375,113500
-117,32.68,38,1481,317,1080,291,2.85,125800
-117,32.68,36,3815,796,2945,728,2.0959,125000
-117,32.67,29,4047,754,2353,730,4.0505,125000
-117,32.66,33,3425,511,1528,479,5.6889,234600
-117,32.64,30,4494,667,1883,680,5.766,186100
-117,32.63,37,1326,234,612,240,4.125,160200
-117,32.63,29,4168,742,2096,713,4.2204,169800
-117,32.62,36,786,125,408,138,3.9167,189700
-117,32.61,34,4325,1015,2609,979,2.8489,128300
-117,32.6,33,905,205,989,222,2.7014,108200
-117,32.6,25,1075,238,434,234,1.7472,94600
-117,32.6,24,1088,268,1095,246,2.4191,107300
-117,32.58,17,2724,567,2213,554,3.8529,147700
-117,32.58,13,3435,708,1761,699,3.4792,107600
-117,32.58,11,2879,679,2098,673,3.5125,142400
-117,32.57,25,1268,282,991,299,3.0284,123600
-117,32.57,18,1384,311,1429,287,1.3362,95000
-117,32.57,17,2252,378,1776,365,4.6364,141100
-117,32.57,16,1269,282,1609,298,2.6985,156500
-117,32.56,5,2706,925,3148,855,1.7301,125000
-117,32.56,17,2803,683,2768,676,1.7958,140400
-117,32.55,5,3223,940,3284,854,1.4384,108800
-117,34.24,21,4773,1047,337,130,3.9375,115000
-117,33.72,16,4928,960,2132,853,2.7983,112500
-117,33.15,17,1893,297,936,287,5.1842,157700
-117,33.15,15,2994,522,1231,503,3.2024,180400
-117,33.14,16,2546,429,1683,408,4.7426,160600
-117,33.13,33,555,165,612,176,2.1786,137500
-117,33.13,17,6817,1632,4526,1474,2.6152,135300
-117,33.12,32,2474,499,1224,461,2.7216,146300
-117,33.12,21,4578,927,2818,900,3.1458,187700
-117,33.12,12,2453,599,1251,529,2.4122,127000
-117,33.11,31,2055,473,1326,427,3.0915,139900
-117,33.11,17,5565,1237,3004,1139,3.0054,142300
-117,33.07,8,2756,343,1045,340,8.5957,444100
-117,33.04,4,2271,578,926,391,3.6437,210100
-117,33.03,15,1095,158,361,176,6.8099,328200
-117,33.03,14,6665,1231,2026,1001,5.09,268500
-117,33.02,17,2863,665,715,467,2.6048,148200
-117,33.01,5,5870,977,1917,842,5.1998,294100
-117,33.01,25,2120,381,588,359,3.1187,169400
-117,33,4,9153,1866,3775,1698,4.955,241500
-117,33,4,6242,1258,2211,1116,4.25,281600
-117,32.91,5,2234,256,894,253,10.3354,477600
-117,32.8,36,2028,349,820,352,3.9828,168900
-117,32.8,31,2550,395,1017,405,5.1488,181000
-117,32.8,23,2698,410,1094,411,5.1782,195100
-117,32.78,26,3725,623,1516,627,4.7143,268300
-117,32.78,22,922,240,1524,235,1.6815,218800
-117,32.77,38,3779,614,1495,614,4.3529,184000
-117,32.77,38,1130,228,699,241,2.65,167600
-117,32.77,34,2245,394,1849,429,3.5446,185500
-117,32.76,42,1827,378,880,380,2.5125,176600
-117,32.76,14,2523,545,1297,525,2.3886,138100
-117,32.75,9,3464,749,1687,645,3.3026,119100
-117,32.75,37,2690,549,1219,524,2.3148,154200
-117,32.75,31,2036,501,1263,442,2.5583,120700
-117,32.75,14,3073,851,2000,782,2.3824,144700
-117,32.74,37,1042,205,589,208,2.6629,116900
-117,32.73,18,2968,656,1149,581,2.6452,154200
-117,32.72,18,1758,286,987,277,4.6875,141800
-117,32.71,39,2754,652,2263,619,2.2454,89600
-117,32.71,36,2448,475,1268,450,2.5682,109100
-117,32.71,26,4151,823,2822,697,2.8372,123400
-117,32.7,14,2763,456,1914,465,4.1645,143000
-117,32.69,29,1429,293,1091,317,3.4609,118000
-117,32.69,28,1485,275,820,283,4.069,153300
-117,32.69,20,2192,406,1766,393,4.0921,135000
-117,32.68,18,1475,267,1149,268,5.0827,142200
-117,32.67,35,3200,725,1723,610,1.8977,95600
-117,32.67,28,2758,623,2179,631,2.3814,112300
-117,32.65,12,4131,891,2272,840,3.4701,204900
-117,32.64,38,1486,269,745,295,4.6477,150400
-117,32.64,32,5135,1025,2152,944,4.1325,172800
-117,32.64,30,2873,774,1593,731,2.24,129500
-117,32.63,40,1706,322,796,303,3.5583,154900
-117,32.63,37,2372,444,1056,419,3.7583,145500
-117,32.63,37,2303,379,1026,357,3.455,156900
-117,32.62,19,5016,1173,2750,1081,2.7838,155900
-117,32.61,22,5016,1331,3222,1196,2.1441,135500
-117,32.61,10,1686,414,1000,391,2.1765,128400
-117,32.6,18,2602,551,1042,550,1.9267,67500
-117,32.59,21,1779,466,1327,488,1.6007,96200
-117,32.57,17,2961,634,1911,615,2.5859,131400
-117,32.57,14,1527,357,1224,363,2.7361,93600
-117,32.56,9,3648,895,3293,840,3.0992,142600
-117,34.96,28,1777,307,721,259,3.6343,79800
-117,34.08,34,45,11,39,14,3.0625,500001
-117,34.03,23,3862,699,2082,652,3.154,115700
-117,34.02,20,3111,563,1453,538,3.3365,122800
-117,33.82,6,1771,293,935,279,4.065,148200
-117,33.23,14,3337,571,1385,512,4.15,272200
-117,33.14,19,2629,494,1444,503,3.5462,156800
-117,33.14,15,1497,250,827,239,4.3846,154200
-117,33.14,11,1430,292,921,294,4.2357,160900
-117,33.13,17,8466,2628,7014,2267,2.1437,113700
-117,33.12,37,1060,268,823,229,1.8363,145500
-117,33.12,33,674,208,565,188,1.875,114300
-117,33.11,31,1832,444,1669,463,2.2146,116700
-117,33.11,31,1356,324,1301,331,2.5331,115100
-117,33.11,28,2094,585,1556,563,2.2,127700
-117,33.09,23,3792,624,1988,658,4.7566,178300
-117,33.08,23,3400,501,1383,488,4.9844,249100
-117,33.04,10,2577,347,1193,365,6.53,264100
-117,33.03,18,1339,284,761,290,5.3074,137200
-117,33.03,17,987,142,463,152,5.8747,229300
-117,33.03,15,3023,623,1283,559,3.3724,137900
-117,33.03,10,2296,450,818,405,4.3424,160600
-117,33.01,5,5659,931,2565,902,6.1949,238700
-117,32.97,3,17466,3336,7644,2895,5.4584,246500
-117,32.93,5,14944,2490,6600,2407,6.0857,308300
-117,32.91,9,1547,218,683,231,7.5604,327900
-117,32.91,16,1653,228,690,224,6.5853,248400
-117,32.83,7,13703,2352,4446,1856,6.4335,260600
-117,32.82,10,5177,856,2190,816,5.9734,271700
-117,32.8,25,2963,552,1162,556,3.625,184500
-117,32.78,21,2919,496,984,443,4.625,222800
-117,32.77,31,1070,155,426,153,6.1628,219200
-117,32.77,25,3911,849,1580,767,2.7778,184100
-117,32.76,27,1221,254,606,259,3.0833,155400
-117,32.76,20,2547,785,1199,643,1.7743,140300
-117,32.76,18,1704,596,1639,548,1.7391,125000
-117,32.75,20,1989,508,1452,462,2.0077,118300
-117,32.75,16,1111,328,930,303,1.2347,128100
-117,32.75,15,1821,516,1385,439,2.5101,95300
-117,32.74,33,3260,673,1784,666,3.5078,126500
-117,32.74,26,2359,622,2067,581,1.8103,124700
-117,32.73,36,3331,643,1903,622,3.6974,122000
-117,32.73,36,1158,218,619,233,3.6125,122500
-117,32.73,19,2935,763,1953,720,1.4254,111300
-117,32.71,27,2204,598,1656,521,1.4821,86200
-117,32.7,37,2176,418,1301,375,2.875,98900
-117,32.7,36,2103,390,1279,392,2.4135,97000
-117,32.69,36,1571,284,1001,268,3.6875,111400
-117,32.69,31,2558,487,1938,492,3.4875,117000
-117,32.68,26,3071,615,2156,568,2.9318,112400
-117,32.68,19,3635,1078,3127,1098,1.324,122600
-117,32.67,31,3008,764,2088,757,2.5662,118200
-117,32.66,43,1004,236,839,235,2.81,103400
-117,32.65,28,2296,603,1277,550,2.3562,123800
-117,32.65,17,2633,712,1487,694,2.5392,147000
-117,32.64,38,917,256,494,233,1.9241,150000
-117,32.64,11,1651,533,947,515,1.6806,141700
-117,32.63,33,2891,793,1607,754,2.1281,139800
-117,32.63,30,2504,559,1827,490,2.6146,159400
-117,32.63,28,2080,427,1266,434,2.2788,146300
-117,32.62,36,1674,309,818,307,3.4773,150400
-117,32.62,28,2468,506,1353,522,3.0771,158600
-117,32.62,16,5192,1381,3261,1321,2.2685,151900
-117,32.61,27,2264,525,1485,468,3.3514,149100
-117,32.6,24,1901,490,1334,476,2.2544,121900
-117,32.59,8,2888,662,2441,683,2.7048,153000
-117,32.59,30,144,52,220,48,2.3929,134400
-117,32.58,22,2128,477,1420,450,3.2687,131000
-117,32.57,9,6298,1512,4451,1456,2.569,88300
-117,34.22,16,1347,327,271,91,4,87500
-117,34.07,24,6260,1271,3132,1189,2.5156,103000
-117,33.71,13,1974,426,1276,408,1.972,90500
-117,33.15,13,3958,865,1981,840,3.4764,137500
-117,33.13,9,5685,1442,3773,1250,3.0426,129900
-117,33.12,11,567,184,620,163,2.5284,122500
-117,33.11,32,1713,321,891,286,3.1429,171600
-117,33.1,21,2876,539,1387,499,3.8292,177000
-117,32.99,18,3215,588,1618,509,4.6028,216800
-117,32.99,16,2175,327,1037,326,5.1909,201400
-117,32.98,23,1125,273,687,308,2.3182,268800
-117,32.91,9,2012,316,802,289,6.5706,255700
-117,32.91,16,2005,266,827,270,7.0546,282200
-117,32.9,16,1989,290,814,291,6.2715,255100
-117,32.83,15,4138,636,2001,677,4.8419,264000
-117,32.81,7,6100,1185,2710,1040,5.5673,288200
-117,32.8,36,2163,367,915,360,4.7188,174100
-117,32.8,15,666,152,247,164,2.15,131300
-117,32.79,36,1936,345,861,343,3.8333,170000
-117,32.79,36,1529,266,683,260,4.0982,171200
-117,32.79,20,2183,534,999,496,2.8631,169700
-117,32.78,28,1708,393,816,393,2.9881,165300
-117,32.77,38,2065,374,812,343,3.125,216500
-117,32.77,31,3062,596,1263,539,3.0875,291500
-117,32.76,44,1139,214,470,217,3.5481,203100
-117,32.76,43,3889,711,1466,663,3.5529,223000
-117,32.76,31,2567,624,1255,582,2.5909,159100
-117,32.76,31,1235,387,816,397,1.5517,122500
-117,32.76,10,1922,577,1595,545,1.5208,118800
-117,32.75,30,1899,546,1620,493,1.6034,84400
-117,32.75,28,1220,391,1286,396,1.2286,105000
-117,32.75,24,1245,376,1230,362,1.875,95000
-117,32.75,20,1701,503,1482,465,1.6789,95500
-117,32.74,23,3130,779,2472,744,2.32,93200
-117,32.73,26,3114,686,1948,660,2.8942,124100
-117,32.72,39,1273,246,770,242,2.0938,102500
-117,32.72,33,1096,240,716,224,1.6944,111800
-117,32.71,29,2238,523,2061,504,2.5559,96800
-117,32.71,12,3375,945,2357,808,1.5,106300
-117,32.7,22,2409,582,1887,578,1.4089,94200
-117,32.69,20,1102,205,852,217,3.1833,108300
-117,32.69,18,1645,430,1221,410,1.3269,108000
-117,32.68,30,2662,653,1997,605,2.8089,120600
-117,32.68,29,1792,449,1650,396,2.2201,100000
-117,32.68,20,2569,737,2341,705,2.0114,104900
-117,32.67,37,1157,332,983,306,2.0972,117000
-117,32.67,31,2051,549,1581,538,2.052,108900
-117,32.66,46,844,147,423,161,3.375,136300
-117,32.66,38,833,206,570,182,1.8333,127100
-117,32.65,25,3509,985,2359,899,2.6296,150000
-117,32.65,20,1445,323,573,334,2.619,145800
-117,32.64,38,2095,536,1240,550,2.7218,145900
-117,32.64,30,3171,862,2126,800,2.507,142700
-117,32.64,24,3613,973,2002,931,1.947,147500
-117,32.64,20,1999,651,1302,592,1.6321,57500
-117,32.63,33,620,161,420,164,1.8417,150000
-117,32.63,27,2920,770,1935,746,2.4148,67500
-117,32.62,37,1925,428,1344,426,2.4866,129700
-117,32.62,34,1576,364,1153,381,2.1955,129700
-117,32.61,23,1157,309,640,313,2.1548,118800
-117,32.61,21,1945,430,1335,419,3.6467,113000
-117,32.58,12,2565,567,1785,545,3.0273,135300
-117,32.57,23,1817,323,1371,327,3.6736,139500
-117,32.57,17,444,83,357,87,5.1478,138900
-117,32.57,10,2198,368,1645,350,4.5547,160700
-117,32.55,8,6533,1217,4797,1177,3.9583,144400
-117,34.57,6,5110,1044,1938,724,3.1917,112800
-117,34.21,22,4397,931,1145,445,4.5268,108400
-117,34.03,24,4144,826,2127,772,2.5172,96000
-117,33.56,6,1868,289,750,247,4.3833,307600
-117,33.36,19,3518,658,2091,610,3.2614,168800
-117,33.17,12,2465,412,1226,428,5.4819,183800
-117,33.15,5,3159,685,1398,581,3.1467,161100
-117,33.14,7,10665,2576,4917,2424,2.3171,159500
-117,33.12,12,961,342,315,201,0.813,275000
-117,33,5,15502,2613,7417,2358,5.9094,261100
-117,32.97,17,3167,861,2098,828,2.4459,85800
-117,32.96,7,3619,770,1134,482,4.1279,167600
-117,32.9,16,2994,445,1047,437,5.149,184300
-117,32.83,16,4214,744,1820,699,4.3783,179500
-117,32.77,49,4449,711,1606,709,5.7768,281600
-117,32.76,52,2606,426,883,380,4.2813,270800
-117,32.76,31,987,267,619,250,2.9286,151800
-117,32.76,30,1835,474,934,415,2.875,139600
-117,32.75,23,1858,551,1506,492,1.7446,85200
-117,32.75,21,2063,609,1686,558,1.4828,94800
-117,32.75,20,2355,722,1848,576,2.0036,99200
-117,32.75,16,2426,799,1505,754,1.6444,103400
-117,32.75,15,2422,774,2120,715,1.0617,92400
-117,32.75,11,1976,548,1528,512,1.4886,89800
-117,32.74,30,1772,500,1389,447,2.3641,94100
-117,32.74,14,2361,601,1831,526,1.6102,93400
-117,32.73,24,2927,704,2005,668,2.2375,102900
-117,32.72,5,1615,387,1094,394,2.2024,137200
-117,32.71,9,1931,472,1628,445,2.085,92600
-117,32.71,25,939,247,1003,240,1.75,87900
-117,32.7,42,2002,488,1505,464,1.5057,86300
-117,32.7,28,633,137,525,170,3.6042,95600
-117,32.69,37,1269,340,1369,302,2.2102,87200
-117,32.69,35,1292,272,1183,272,2.0547,98000
-117,32.69,29,4174,1195,3675,1124,1.8112,103600
-117,32.69,11,3071,911,2812,774,1.2413,83100
-117,32.68,49,1412,350,1200,332,2.0398,93600
-117,32.68,47,771,224,637,212,2.0156,90300
-117,32.68,47,1044,274,1003,280,1.7802,97800
-117,32.68,20,1012,269,837,240,2.0488,88900
-117,32.67,26,2629,763,2721,767,2.0982,109100
-117,32.67,22,1690,541,1669,494,2.0213,110600
-117,32.67,15,1635,553,1347,597,1.2745,92900
-117,32.66,27,1782,560,1785,560,2.1542,106300
-117,32.64,29,1578,460,1236,461,2.5658,134700
-117,32.59,21,2350,667,1621,613,2.0734,87500
-117,32.58,29,1061,202,759,206,4.8646,136800
-117,32.58,27,2616,591,1889,577,2.3824,127600
-117,32.58,23,1662,377,1318,386,2.3,120800
